timestamp_pc,lectura_cruda,voltaje,porcentaje
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
 2026- 04- 09 11: 44: 03,1087,0.876,26.0
 2026- 04- 09 11: 44: 03,1,0.887,26.0
