tiempo_ms,adc,voltaje
16,4095,3.3
117,4095,3.3
217,4095,3.3
317,4095,3.3
417,4095,3.3
517,4095,3.3
617,4095,3.3
717,4095,3.3
817,4095,3.3
917,4095,3.3
1017,4095,3.3
1117,4095,3.3
1217,4095,3.3
1317,4095,3.3
1417,4095,3.3
1517,4095,3.3
1617,4095,3.3
1717,4095,3.3
1817,4095,3.3
1917,4095,3.3
2017,4095,3.3
2117,4095,3.3
2217,4095,3.3
2317,4095,3.3
2417,4095,3.3
2517,4095,3.3
2617,4095,3.3
2717,4095,3.3
2817,4095,3.3
2917,4095,3.3
3017,4095,3.3
3117,4095,3.3
3217,4095,3.3
3317,4095,3.3
3417,4095,3.3
3517,4095,3.3
3617,4095,3.3
3717,4095,3.3
3817,4095,3.3
3917,4095,3.3
4017,4095,3.3
4117,4095,3.3
4217,4095,3.3
4317,4095,3.3
4417,4095,3.3
4517,4095,3.3
4617,4095,3.3
4717,4095,3.3
4817,4095,3.3
4917,4095,3.3
5017,4095,3.3
5117,4095,3.3
5217,4095,3.3
5317,4095,3.3
5417,4095,3.3
5517,4095,3.3
5617,4095,3.3
5717,4095,3.3
5817,4095,3.3
5917,4095,3.3
6017,4095,3.3
6117,4095,3.3
6217,4095,3.3
6317,4095,3.3
6417,4095,3.3
6517,4095,3.3
6617,4095,3.3
6717,4095,3.3
6817,4095,3.3
6917,4095,3.3
7017,4095,3.3
7117,4095,3.3
7217,4095,3.3
7317,4095,3.3
7417,4095,3.3
7517,4095,3.3
7617,4095,3.3
7717,4095,3.3
7817,4095,3.3
7917,4095,3.3
8017,4095,3.3
8117,4095,3.3
8217,4095,3.3
8317,4095,3.3
8417,4095,3.3
8517,4095,3.3
8617,4095,3.3
8717,4095,3.3
8817,4095,3.3
8917,4095,3.3
9017,4095,3.3
9117,4095,3.3
9217,4095,3.3
9317,4095,3.3
9417,4095,3.3
9517,4095,3.3
9617,4095,3.3
9717,4095,3.3
9817,3969,3.2
9917,3682,2.97
10017,3346,2.7
10117,3099,2.5
10217,2897,2.33
10317,2691,2.17
10417,2517,2.03
10517,2371,1.91
10617,2190,1.76
10717,1994,1.61
10817,1824,1.47
10917,1774,1.43
11017,1776,1.43
11117,1776,1.43
11217,1778,1.43
11317,1723,1.39
11417,1528,1.23
11517,1328,1.07
11617,1085,0.87
11717,840,0.68
11817,656,0.53
11917,509,0.41
12017,346,0.28
12117,220,0.18
12217,109,0.09
12317,0,0.0
12417,0,0.0
12517,0,0.0
12617,0,0.0
12717,0,0.0
12817,0,0.0
12917,0,0.0
13017,0,0.0
13117,61,0.05
13217,286,0.23
13317,580,0.47
13417,969,0.78
13517,1405,1.13
13617,1941,1.56
13717,2307,1.86
13817,2544,2.05
13917,2551,2.06
14017,2559,2.06
14117,2559,2.06
